episode,reward,loss,nutrition,expired_units,fairness_gap,mean_coverage,mismatches,epsilon
1,205.58583659126376,0.0,1640.1875,39.0,0.3560563847683524,0.1824948591987328,7,1.0
2,200.61077817017392,0.0,1395.1875,37.0,0.9403147346468611,0.1615782232758827,3,0.993
3,199.78346547991373,0.0,1464.1875,43.0,0.45802346145534245,0.14633644226202283,3,0.986049
4,187.35476616749548,0.0,1130.625,44.0,0.5847119358976095,0.1381279013877365,1,0.979146657
5,156.0859598173617,0.0,1217.75,48.0,0.5022122773054029,0.18096160971048553,7,0.972292630401
6,213.11957392757807,0.0,1389.8125,37.0,0.7381387998058304,0.17570712317161272,2,0.9654865819881929
7,242.2657254115883,0.0,1463.125,39.0,0.5059916190101066,0.17107812754616492,2,0.9587281759142756
8,259.333908077361,0.0,1631.0625,35.0,0.4885938720513642,0.19846585370597888,2,0.9520170786828757
9,231.5590889526535,0.0,1497.375,35.0,0.7449441651882204,0.20570541653696459,4,0.9453529591320955
10,212.44450244025396,5.83403205871582,1195.25,31.0,0.6060010779488613,0.19342494330486115,2,0.9387354884181709
11,175.20675646909658,6.025870037078858,1205.125,57.0,0.6157080276955504,0.18482813472751028,8,0.9321643399992436
12,248.89997728804832,4.259628272056579,1477.625,41.0,0.8950876797750741,0.2730550029396279,4,0.925639189619249
13,204.99724727187657,3.2921419541041055,1394.375,49.0,0.9944836123829577,0.195783965229327,4,0.9191597152919142
14,217.87936627584259,2.986561075846354,1446.1875,22.0,0.5399261544187554,0.1589632486909757,2,0.9127255972848708
15,236.4405250553327,2.96388783454895,1717.125,23.0,0.5646045645366523,0.16808857383469808,5,0.9063365181038767
16,251.86024663298824,3.2543445825576782,1663.125,34.0,0.6391275393103917,0.21126468800146841,5,0.8999921624771495
17,222.41075362878476,3.5269696633021037,1499.0625,43.0,0.9025326981335843,0.21663757822434002,3,0.8936922173398095
18,253.1665205903221,3.713624906539917,1665.125,41.0,1.444982101747682,0.24646061162634378,6,0.8874363718184308
19,223.5257302279956,4.241093794504802,1459.75,27.0,0.6633704759577581,0.1815891792194403,3,0.8812243172157018
20,219.069562669418,4.037951509157817,1370.9375,51.0,0.6521642107767922,0.14865655646402556,1,0.8750557469951918
21,280.3091245662545,4.3134058554967245,1743.1875,26.0,1.6571619056852092,0.30758118276501867,4,0.8689303567662255
22,230.71096798625226,4.529027342796326,1573.6875,31.0,1.7793778237365594,0.2512319458957822,7,0.862847844268862
23,192.79720912816308,4.612851675351461,1496.0625,37.0,0.8829161569576699,0.15849278403196393,3,0.8568079093589799
24,179.93769369545012,4.530862085024515,1517.0625,46.0,0.6797471250067653,0.2125784334670521,11,0.8508102539934671
25,245.12261905012434,4.765932703018189,1743.75,28.0,0.7986590978214775,0.24052310300883478,8,0.8448545822155128
26,276.71435374862864,4.9779762903849285,1631.5625,34.0,0.903967703417477,0.25239493870186724,3,0.8389406001400042
27,203.45744769976477,5.017239634195963,1304.0625,44.0,0.510683425253584,0.14868616187994038,1,0.8330680159390241
28,207.2725988296792,4.788859144846598,1374.0625,41.0,0.7161905054115745,0.19505676846055875,4,0.8272365398274509
29,212.7470473173481,5.32890427907308,1568.875,39.0,0.4839750516266016,0.17439515485726045,6,0.8214458840486588
30,313.6642120786609,5.043581104278564,1675.25,29.0,0.8469866138519193,0.3129679787198749,2,0.8156957628603182
31,212.9757771022203,5.159688035647075,1519.0625,35.0,0.9027134344155576,0.16703240536727648,5,0.809985892520296
32,202.96228505519653,5.1713605403900145,1372.625,36.0,0.8487693503672945,0.22212631694035673,6,0.8043159912726539
33,240.8801092808528,4.888237373034159,1758.75,52.0,0.5059901615226503,0.19830550535642805,5,0.7986857793337453
34,248.25910419715535,5.160625410079956,1721.125,33.0,1.5640908060470677,0.24861019601490825,6,0.7930949788784091
35,311.2702670571691,5.709592819213867,1738.6875,33.0,0.633663693468897,0.24105663838888117,2,0.7875433140262602
36,243.88375139869342,5.472541133562724,1466.25,47.0,0.5078396594740365,0.13414843259723644,0,0.7820305108280764
37,265.85777805280406,5.683790008227031,1514.25,34.0,1.3530337516437285,0.23433738636041582,1,0.7765562972522798
38,303.19847458465193,4.975805616378784,1713.625,43.0,0.8467494375963089,0.30774105900580917,3,0.7711204031715139
39,231.32729880971146,5.6003342628479,1531.625,32.0,0.38193186842307775,0.16981854382811473,3,0.7657225603493133
40,231.5336722170041,5.594646406173706,1344.625,37.0,0.7487186277189912,0.2409637610832244,4,0.7603625024268681
41,268.238105895602,6.321321288744609,1545.8125,25.0,0.9977956523798069,0.27605727677766084,5,0.75503996490988
42,261.2882924152802,6.445041879018148,1746.625,28.0,0.5657586728742028,0.22905163827711134,3,0.7497546851555108
43,229.21157114187028,5.832275629043579,1446.8125,43.0,0.7677551812588926,0.1909537491718098,2,0.7445064023594222
44,275.69773600208487,6.895614775021871,1866.125,33.0,0.8607589288487574,0.2201342187508109,5,0.7392948575429062
45,193.36787646418526,6.17162336508433,1235.0,43.0,0.7910375867986581,0.1407568018094107,2,0.7341197935401059
46,177.29175319253432,6.822113370895385,1120.5625,44.0,0.47834559658445264,0.1663120422970234,3,0.7289809549853252
47,240.04073112388969,6.769205760955811,1441.875,59.0,1.3218284768859718,0.22128025446416172,2,0.7238780883004279
48,239.78659718675542,7.258495060602824,1202.1875,26.0,0.9017612168552724,0.2362188911899925,1,0.718810941682325
49,220.6576012776871,6.364431858062744,1287.5625,47.0,0.9040125845881912,0.24940980879871733,3,0.7137792650905487
50,247.4035930216334,6.4287708361943565,1702.25,27.0,0.49782872192502253,0.2122252587213284,4,0.7087828102349149
51,253.796486277173,6.671063542366028,1701.25,29.0,0.900569820659109,0.2049848341997928,3,0.7038213305632703
52,265.50076705093244,6.464053344726563,1747.125,44.0,1.015685188184407,0.2720936657611518,4,0.6988945812493275
53,239.4900436333764,6.978072412808737,1631.625,36.0,0.825038199093504,0.21609586503067302,6,0.6940023191805822
54,226.29897429428334,7.0964182694753015,1383.5,25.0,0.5369530912713205,0.17410272096031948,3,0.6891443029463181
55,236.68208531452524,6.078644728660583,1552.1875,21.0,0.5375726432950784,0.21699393937732495,5,0.6843202928256938
56,206.3288891606736,6.897327963511149,1361.3125,40.0,0.4539501238497372,0.150055218744805,2,0.679530050775914
57,289.6919412770859,8.240593846638998,1589.6875,23.0,0.7839805067096713,0.2710961235769064,2,0.6747733404204826
58,276.6991556682729,6.345026596387227,1522.875,29.0,1.4875311906289816,0.27262682764694435,1,0.6700499270375393
59,279.0923333894362,6.366070795059204,1699.6875,23.0,0.9266845531481319,0.2477338330427561,3,0.6653595775482765
60,295.7055060989484,6.992904845873515,1578.0625,20.0,1.039425617578892,0.36217508953745436,6,0.6607020605054386
61,267.23342908970596,6.811970694859823,1504.3125,49.0,1.0587130636438518,0.2685496070162067,0,0.6560771460819005
62,224.10380670154842,6.980547515551249,1335.5625,42.0,0.6145174329186245,0.1765775032621258,1,0.6514846060593271
63,222.63960175066413,7.049903170267741,1685.75,35.0,0.6206931802167316,0.19837543432228386,7,0.6469242138169119
64,257.9974194172976,6.604556091626486,1520.5,13.0,0.6986401903850914,0.21561416477940681,2,0.6423957443201934
65,210.5502316985468,7.129896887143453,1266.75,36.0,0.3891141318674311,0.14777788836288602,0,0.6378989741099521
66,242.30506979788748,7.433017381032308,1657.3125,27.0,0.7295490589518753,0.228023180518516,7,0.6334336812911824
67,273.2713422178035,6.763966544469198,1480.75,43.0,0.8427494421028834,0.25137539832322886,0,0.6289996455221442
68,259.4408853407805,7.7596491495768225,1559.4375,35.0,0.8796171240432897,0.21341137363325466,1,0.6245966480034891
69,253.18531061101046,6.5602205435434975,1512.5625,26.0,0.5422782727392704,0.20311497656272323,2,0.6202244714674647
70,271.06760063073847,6.632034913698832,1561.8125,22.0,0.8348971577379275,0.23886020041007322,2,0.6158829001671925
71,218.20984399364514,6.676343711217244,1483.75,38.0,0.6578604103161055,0.2124553659892861,3,0.6115717198660221
72,266.65572229692793,7.947773090998331,1713.0,35.0,0.7183639066032835,0.26278739879994295,3,0.60729071782696
73,245.25399445696914,6.259820413589478,1311.9375,36.0,0.38509901833210947,0.18792378092374293,2,0.6030396828021712
74,234.7594208759163,6.43444078763326,1248.0625,19.0,0.6114746797497167,0.19314288407472052,2,0.598818405022556
75,236.12521165103283,6.18697809378306,1426.75,22.0,0.5145337119617187,0.1998234913587331,3,0.5946266761873982
76,206.16407965470157,6.964591797192892,1432.1875,45.0,0.31896196220521517,0.13917874255726811,2,0.5904642894540864
77,300.4576268143362,6.48873249689738,1908.1875,26.0,0.7695849248303183,0.284550748822752,4,0.5863310394279078
78,240.87485565144402,6.56679121653239,1557.4375,34.0,0.4948706350844594,0.19652543305231795,5,0.5822267221519124
79,254.8910787174244,6.90357277393341,1338.5625,34.0,0.4738600393179183,0.1860726718128602,0,0.578151135096849
80,247.482442277871,7.201268744468689,1659.75,31.0,1.0264540564565703,0.2979898846066288,8,0.5741040771511711
81,216.30152450202894,6.347114229202271,1278.5625,41.0,0.8570575177865889,0.21930821216991864,2,0.5700853486111128
82,227.91798912135891,6.792207813262939,1339.4375,53.0,0.6873374930306254,0.18983147896258204,3,0.5660947511708351
83,269.69389774258906,7.42595731417338,1827.25,25.0,0.7663762887828132,0.2639847362906418,9,0.5621320879126391
84,265.90634269790553,6.798737287521362,1776.0625,49.0,0.5663362633909299,0.19874188515929053,2,0.5581971632972507
